District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Abby Kelley Foster Charter Public (District),4450000,ELA,258,37,22,3,236,34,324,47,112,16,694,99,491.8,32,449
Abington,10000,ELA,479,53,85,9,394,44,300,33,122,14,901,95,500.3,38.8,546
Academy Of the Pacific Rim Charter Public (District),4120000,ELA,65,25,4,2,61,23,120,46,76,29,261,96,483.2,30.6,245
Acton-Boxborough,6000000,ELA,"1,636",69,388,16,"1,248",53,618,26,119,5,"2,373",97,509.7,43.2,"1,486"
Acushnet,30000,ELA,298,51,55,9,243,42,219,38,67,11,584,98,500.7,35.4,372
Advanced Math and Science Academy Charter (District),4300000,ELA,232,65,46,13,186,52,114,32,12,3,358,96,508.9,41.1,311
Agawam,50000,ELA,567,43,67,5,500,38,579,44,171,13,"1,317",83,495.8,32.1,776
Alma del Mar Charter School (District),4090000,ELA,208,43,23,5,185,38,202,42,74,15,484,99,494.3,31.4,307
Amesbury,70000,ELA,411,48,70,8,341,40,306,36,135,16,852,95,497.3,35.8,549
Amherst,80000,ELA,197,58,44,13,153,45,105,31,39,11,341,61,503,41.5,139
Amherst-Pelham,6050000,ELA,61,64,10,11,51,54,20,21,14,15,95,23,506.2,45,79
Andover,90000,ELA,"1,704",65,426,16,"1,278",48,768,29,165,6,"2,637",99,507.7,39.7,"1,675"
Argosy Collegiate Charter School (District),35090000,ELA,57,18,2,1,55,18,160,51,95,30,312,96,480.7,21.3,285
Arlington,100000,ELA,"1,895",71,492,19,"1,403",53,631,24,127,5,"2,653",95,510.9,48.5,"1,621"
Ashburnham-Westminster,6100000,ELA,551,52,60,6,491,47,434,41,70,7,"1,055",99,500.7,46.1,695
Ashland,140000,ELA,740,58,156,12,584,46,406,32,134,10,"1,280",98,503,44.5,789
Athol-Royalston,6150000,ELA,230,32,25,4,205,29,314,44,168,24,712,97,487.9,31.5,417
Atlantis Charter (District),4910000,ELA,257,39,32,5,225,34,293,45,103,16,653,100,493,31,426
Attleboro,160000,ELA,"1,134",44,143,6,991,38,"1,082",42,373,14,"2,589",98,495.6,32.7,"1,612"
Auburn,170000,ELA,596,52,104,9,492,43,439,38,122,11,"1,157",97,500.6,32.1,760
Avon,180000,ELA,155,46,19,6,136,40,136,40,47,14,338,97,496.6,39.1,216
Ayer Shirley School District,6160000,ELA,355,46,44,6,311,40,334,43,82,11,771,95,497.4,36.9,482
Barnstable,200000,ELA,779,40,88,4,691,35,815,41,372,19,"1,966",91,492.5,34.4,"1,131"
Baystate Academy Charter Public School (District),35020000,ELA,44,20,4,2,40,18,95,42,85,38,224,97,478.7,25.4,208
Bedford,230000,ELA,865,72,238,20,627,53,280,23,49,4,"1,194",98,512.4,44.9,742
Belchertown,240000,ELA,409,45,49,5,360,40,380,42,113,13,902,90,496.3,37.5,584
Bellingham,250000,ELA,370,39,46,5,324,34,448,47,128,14,946,98,494.5,36.4,600
Belmont,260000,ELA,"1,589",76,423,20,"1,166",56,404,19,100,5,"2,093",98,513.2,39.4,"1,258"
Benjamin Banneker Charter Public (District),4200000,ELA,124,71,36,21,88,50,38,22,13,7,175,98,509.2,42.2,78
Benjamin Franklin Classical Charter Public (District),4470000,ELA,302,63,45,9,257,54,157,33,18,4,477,98,506.5,36.2,279
Berkley,270000,ELA,307,53,59,10,248,43,223,39,45,8,575,99,501.8,41,382
Berkshire Arts and Technology Charter Public (District),4140000,ELA,84,47,15,8,69,39,56,32,37,21,177,91,495.4,37.9,159
Berkshire Hills,6180000,ELA,189,43,26,6,163,37,188,43,62,14,439,95,495.5,34,277
Berlin-Boylston,6200000,ELA,308,67,67,15,241,52,128,28,26,6,462,98,507.5,44.3,295
Beverly,300000,ELA,"1,045",50,191,9,854,40,790,37,276,13,"2,111",98,498.6,32.1,"1,318"
Billerica,310000,ELA,"1,102",49,150,7,952,42,900,40,253,11,"2,255",99,498.3,34.4,"1,438"
Blackstone-Millville,6220000,ELA,343,45,43,6,300,40,312,41,99,13,754,99,496.5,36,497
Boston,350000,ELA,"5,828",31,885,5,"4,943",26,"7,651",41,"5,220",28,"18,699",91,487.4,33.4,"10,075"
Boston Collegiate Charter (District),4490000,ELA,142,37,13,3,129,34,175,46,66,17,383,99,492,33.2,314
Boston Green Academy Horace Mann Charter School (District),4110000,ELA,19,14,3,2,16,12,69,50,51,37,139,82,478.5,26.4,131
Boston Preparatory Charter Public (District),4160000,ELA,88,29,13,4,75,25,144,48,70,23,302,97,488.1,39.5,281
Boston Renaissance Charter Public (District),4810000,ELA,110,27,11,3,99,24,211,52,84,21,405,97,487.1,28.7,150
Bourne,360000,ELA,316,39,30,4,286,35,347,43,144,18,807,94,492,30.5,514
Boxford,380000,ELA,249,65,41,11,208,54,117,30,19,5,385,99,506.3,46.1,190
Braintree,400000,ELA,"1,515",59,297,11,"1,218",47,862,33,207,8,"2,584",98,504.2,36.2,"1,651"
Brewster,410000,ELA,107,54,15,8,92,46,78,39,14,7,199,93,500.9,31.8,65
Bridge Boston Charter School (District),4170000,ELA,45,28,3,2,42,27,82,52,31,20,158,82,487,26.5,94
Bridgewater-Raynham,6250000,ELA,"1,227",49,154,6,"1,073",42,"1,024",41,277,11,"2,528",97,498.2,32.9,"1,567"
Brimfield,430000,ELA,85,55,13,8,72,47,54,35,15,10,154,97,501.8,46.7,74
Brockton,440000,ELA,"1,470",21,107,2,"1,363",19,"3,277",46,"2,360",33,"7,107",97,481.4,34.5,"4,132"
Brooke Charter School (District),4280000,ELA,588,53,158,14,430,39,428,39,85,8,"1,101",99,503.4,40.2,650
Brookfield,450000,ELA,87,59,12,8,75,51,45,30,16,11,148,100,500.7,38.5,74
Brookline,460000,ELA,"2,189",72,663,22,"1,526",50,696,23,163,5,"3,048",98,512.1,50.7,"1,867"
Burlington,480000,ELA,860,56,147,10,713,46,540,35,146,9,"1,546",94,502.2,39.2,889
Cambridge,490000,ELA,"1,227",57,285,13,942,44,636,30,272,13,"2,135",79,502.7,34.8,"1,120"
Canton,500000,ELA,890,60,166,11,724,49,460,31,125,8,"1,475",98,504.4,37.7,926
Cape Cod Lighthouse Charter (District),4320000,ELA,146,60,22,9,124,51,76,31,20,8,242,96,503.3,40.4,219
Carlisle,510000,ELA,304,76,78,19,226,56,82,20,15,4,401,98,513,43.2,244
Carver,520000,ELA,274,39,14,2,260,37,340,49,84,12,698,97,494.1,33.7,415
Central Berkshire,6350000,ELA,294,45,64,10,230,35,267,41,97,15,658,99,496.5,39.3,409
Chelmsford,560000,ELA,"1,348",61,240,11,"1,108",50,700,32,170,8,"2,218",98,504.6,40.2,"1,357"
Chelsea,570000,ELA,644,24,73,3,571,21,"1,232",45,833,31,"2,709",95,483.3,29.6,"1,468"
Chesterfield-Goshen,6320000,ELA,32,50,4,6,28,44,25,39,7,11,64,100,497.5,50.4,27
Chicopee,610000,ELA,968,31,109,4,859,28,"1,406",45,736,24,"3,110",98,489,27.7,"1,851"
Christa McAuliffe Charter Public (District),4180000,ELA,164,42,15,4,149,38,165,43,59,15,388,98,494.6,36.9,352
Clarksburg,630000,ELA,67,48,9,6,58,41,66,47,7,5,140,100,499.2,33.4,89
Clinton,640000,ELA,290,35,28,3,262,31,362,43,184,22,836,97,489.7,40.1,508
Codman Academy Charter Public (District),4380000,ELA,17,13,0,0,17,13,74,58,36,28,127,98,480.2,32.5,85
Cohasset,650000,ELA,455,70,84,13,371,57,175,27,17,3,647,98,509.7,42.3,418
Collegiate Charter School of Lowell (District),35030000,ELA,285,44,33,5,252,38,290,44,80,12,655,99,495.2,39.6,384
Community Charter School of Cambridge (District),4360000,ELA,62,46,9,7,53,40,55,41,17,13,134,100,498,32.8,123
Community Day Charter Public School - Gateway (District),4260000,ELA,122,50,24,10,98,40,87,36,34,14,243,100,498.4,26.3,157
Community Day Charter Public School - Prospect (District),4400000,ELA,125,47,24,9,101,38,105,39,38,14,268,100,498,33.8,168
Community Day Charter Public School - R. Kingman Webster (District),4310000,ELA,124,52,21,9,103,43,94,39,21,9,239,100,500.3,30.3,150
Concord,670000,ELA,938,70,200,15,738,55,344,26,60,4,"1,342",98,509.5,37.3,828
Conservatory Lab Charter (District),4390000,ELA,82,34,11,5,71,29,121,50,40,16,243,100,491.3,32.5,133
Conway,680000,ELA,41,59,7,10,34,49,26,38,2,3,69,96,505.4,37.7,34
Danvers,710000,ELA,733,50,115,8,618,42,586,40,158,11,"1,477",93,499.2,35.2,926
Dartmouth,720000,ELA,817,53,156,10,661,43,586,38,145,9,"1,548",96,501.7,40.4,989
Dedham,730000,ELA,556,48,85,7,471,41,424,37,171,15,"1,151",97,497.4,32.7,746
Deerfield,740000,ELA,82,46,11,6,71,40,73,41,24,13,179,95,495.3,27.3,81
Dennis-Yarmouth,6450000,ELA,521,40,72,6,449,35,549,42,226,17,"1,296",96,493.7,40.9,758
Dighton-Rehoboth,6500000,ELA,557,48,76,6,481,41,507,43,108,9,"1,172",92,498.9,35,748
